Job ID,Job Name,Job Status,Execution Time,Start Time,End Time,Row Count,Error Message
7a45e7bd,Data Operation Job,Success,0,2024-10-28 15:55:43,2024-10-28 15:55:43,5,
a4af3d8f,Data Transfer Job,Success,0,2024-10-29 12:06:52,2024-10-29 12:06:52,5,
